name,phoneNumber,email,address,userAgent,hexcolor
"Lizzie Stanton Sr.","(494) 333-0427",altenwerth.damien@reichert.net,"5577 Jaren Junction Apt. 952
Parisside, WI 27442","Mozilla/5.0 (X11; Linux x86_64; rv:7.0) Gecko/20100815 Firefox/36.0",#a45c57
"Theresia O'Connell",502.364.7896,spinka.jameson@yahoo.com,"971 Hickle Greens
Chadrickland, KS 36165","Mozilla/5.0 (X11; Linux i686; rv:5.0) Gecko/20110102 Firefox/35.0",#d9c045
"Shane Reynolds Sr.",262.671.7257,tamara.deckow@parisian.com,"656 Kiarra Stravenue Suite 700
Malindastad, NC 03187","Mozilla/5.0 (Windows CE; sl-SI; rv:1.9.0.20) Gecko/20180314 Firefox/36.0",#2f8fcc
"Cristina Towne",1-690-491-3330,hobart.volkman@abbott.net,"32714 Jerde Glen
Nienowfurt, OH 88498-8946","Opera/9.28 (Windows NT 6.0; sl-SI) Presto/2.12.229 Version/12.00",#627e6e
"Kali Crist",1-595-543-6441,bquigley@marquardt.info,"19295 Conroy Camp Apt. 192
North Darrylshire, AL 06279-3778","Mozilla/5.0 (X11; Linux i686) AppleWebKit/5311 (KHTML, like Gecko) Chrome/36.0.899.0 Mobile Safari/5311",#fc9987
"Stephanie Hyatt II",1-378-344-4669,yschuppe@hotmail.com,"903 Emely Harbor Apt. 924
East Keanubury, NV 15319","Mozilla/5.0 (Windows CE) AppleWebKit/5341 (KHTML, like Gecko) Chrome/38.0.802.0 Mobile Safari/5341",#3a9aab
"Daphney Kunze",+1-439-741-7955,ewilderman@bergstrom.info,"25314 Haag Freeway
New Freedaport, WA 90563","Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/531.32.5 (KHTML, like Gecko) Version/4.0 Safari/531.32.5",#d5470f
"Don Balistreri",1-774-230-7600,lbrakus@hickle.com,"5821 Moore Vista
Vernburgh, AK 82077","Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/5310 (KHTML, like Gecko) Chrome/36.0.835.0 Mobile Safari/5310",#b5ef87
"Zoila Swift","(230) 820-3522",domenico.bayer@hotmail.com,"720 Dion Station Apt. 959
Keelingberg, TN 14541","Mozilla/5.0 (compatible; MSIE 10.0; Windows 95; Trident/3.0)",#1ecb98
"Durward Romaguera",549.853.1206,ibartoletti@hotmail.com,"601 O'Keefe Points
New Abdulstad, ME 96319","Opera/8.89 (Windows 95; sl-SI) Presto/2.11.229 Version/11.00",#b5d7e4
"Dr. Andrew Graham Jr.",365-415-3526,nienow.joanne@cole.com,"461 Esta Junction Apt. 299
South Ruthie, ME 29114-2362","Mozilla/5.0 (Windows NT 6.2) AppleWebKit/5322 (KHTML, like Gecko) Chrome/38.0.887.0 Mobile Safari/5322",#952d34
"Francesco Rowe",1-532-864-5882,goodwin.dejon@hotmail.com,"3332 Abel Plains
McKenzieberg, OH 59426-6582","Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.0)",#f3ba6d
"Octavia O'Connell MD","(947) 308-5714",mcglynn.lorenz@west.com,"1107 Nadia Gardens Suite 935
Mercedesfort, OR 60610-0946","Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/3.1)",#d667c5
"Bridget Stehr","+1 (693) 785-4393",oreichert@yahoo.com,"217 Jeffrey Harbors
New Amyachester, GA 20644","Mozilla/5.0 (X11; Linux i686) AppleWebKit/5351 (KHTML, like Gecko) Chrome/38.0.857.0 Mobile Safari/5351",#d11f6e
"Colten Lind","+1 (906) 367-2871",amani.mann@yahoo.com,"90816 Grady Spur Apt. 517
East Hayley, MD 56170","Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.8.2 (KHTML, like Gecko) Version/4.0 Safari/532.8.2",#65246b
"Dr. Fredy Brakus II",654-319-5408,pmayert@yahoo.com,"29351 Ankunding Keys Apt. 429
South Litzy, NC 57084","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/3.1)",#9832d4
"Aylin Lind","+1 (565) 337-7241",casper.elna@schaefer.com,"251 Collier Ports
Reillymouth, MO 50344-6263","Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_2) AppleWebKit/5340 (KHTML, like Gecko) Chrome/38.0.841.0 Mobile Safari/5340",#5e0cc1
"Hassan Gottlieb","(443) 702-6508",lnikolaus@mcclure.com,"16696 Johns Parkway
Hoppefort, MA 04426","Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/534.34.2 (KHTML, like Gecko) Version/4.0.1 Safari/534.34.2",#73df51
"Mr. Jaiden Johns",659-533-8311,clarkin@stroman.com,"235 Cormier Union Suite 876
Ernserburgh, SC 61471-3406","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5331 (KHTML, like Gecko) Chrome/36.0.841.0 Mobile Safari/5331",#374582
